BBL,ENERGY STAR Score,Calendar Year,Emisiones DOB,ranking
4158100001,100.0,2022,407.4,9918
4158150220,100.0,2022,831.4,16244
4158100071,90.0,2022,686.7,19470
2033420001,,2022,504.0,
4021390026,83.0,2022,581.4,20373
2043400001,100.0,2022,68.6,868
2043450005,100.0,2022,64.9,813
1013890056,,2022,508.0,
3067000038,91.0,2022,610.7,18029
1008830058,100.0,2022,191.0,3512
5000010216,93.0,2022,548.7,16351
3011690001,87.0,2022,696.2,20623
1001357504,,2022,1902.4,
1015997501,30.0,2022,813.9,33624
1008670057,,2022,673.7,
1014100014,14.0,2022,713.2,34165
1013207502,81.0,2022,263.2,11103
1014130040,,2022,1318.9,
4021530025,82.0,2022,313.0,13171
2039250018,93.0,2022,436.7,13893
3011690024,72.0,2022,608.6,24337
1015250009,58.0,2022,453.6,25017
1012740057,96.0,2022,475.5,13967
1012197501,,2022,841.1,
1016237501,46.0,2022,592.2,29829
1017460021,76.0,2022,692.8,24198
1014290005,47.0,2022,641.5,30279
1014110023,,2022,744.1,
1005897501,,2022,511.8,
3052790043,12.0,2022,695.1,34143
1008167501,,2022,652.0,
1014080020,,2022,111.8,
1005697503,38.0,2022,253.0,20961
1007790010,,2022,275.3,
1008307501,59.0,2022,557.6,26929
1014157501,,2022,2262.6,
3067150062,61.0,2022,252.6,15965
3050460028,55.0,2022,452.4,25698
3052290083,69.0,2022,225.8,12318
3074040001,80.0,2022,274.1,11879
3055600064,93.0,2022,378.9,12214
4089290106,35.0,2022,370.1,26943
3065780100,72.0,2022,282.2,14622
3058920006,42.0,2022,376.3,25947
3058920016,46.0,2022,330.4,23525
3071280005,73.0,2022,250.6,12679
3052400011,67.0,2022,219.8,12508
3052410018,56.0,2022,487.7,26304
1007870020,98.0,2022,156.4,3459
3052870001,100.0,2022,408.5,9937
3055470057,63.0,2022,347.5,20404
3052850040,86.0,2022,360.3,13738
3063340006,84.0,2022,533.1,19153
3061750036,94.0,2022,405.5,12729
3054230049,100.0,2022,58.5,699
3060260001,85.0,2022,600.1,19979
3061370045,,2022,630.1,
3061340038,66.0,2022,330.2,18781
3065810001,88.0,2022,332.6,12084
3067710056,62.0,2022,287.3,17691
2045940001,37.0,2022,335.4,25337
2032120021,94.0,2022,265.8,8043
2031470026,92.0,2022,257.2,8152
2033010010,99.0,2022,230.8,5771
2057770714,100.0,2022,281.7,6436
2043220032,97.0,2022,260.9,7325
1011500048,94.0,2022,321.8,10126
2032110035,94.0,2022,361.0,11423
3056560014,48.0,2022,371.7,24721
3067520050,82.0,2022,286.8,11919
3067560001,64.0,2022,258.8,15596
3062990062,77.0,2022,225.5,10306
3067960059,68.0,2022,234.1,13131
3067950053,66.0,2022,264.6,15368
3065870027,73.0,2022,289.3,14696
3067600035,58.0,2022,372.7,22623
3067950060,68.0,2022,325.3,17960
3067950034,51.0,2022,344.2,23098
3062190001,75.0,2022,239.9,11551
3067700031,72.0,2022,496.4,22383
3067730012,50.0,2022,291.6,20816
3087710101,85.0,2022,417.7,15890
3087450081,82.0,2022,214.3,8585
3065120012,72.0,2022,277.0,14359
3060080006,54.0,2022,292.8,20020
3067040032,59.0,2022,263.7,17134
4022240016,62.0,2022,323.2,19565
1014197503,73.0,2022,2447.1,30622
1011527501,,2022,630.6,
1011440024,,2022,92.1,
3060690004,98.0,2022,368.9,10645
3075930006,52.0,2022,291.7,20411
1017457501,71.0,2022,510.1,22950
3076200014,96.0,2022,468.4,13830
2027950014,92.0,2022,748.2,19548
3067010064,84.0,2022,631.2,20814
3067000026,91.0,2022,614.8,18115
4014180001,85.0,2022,833.2,22904
3087710135,100.0,2022,187.0,3383
3063700032,68.0,2022,343.6,18785
